"chrom" "TCN" "A" "B" "Seglength" "n_mut_A" "n_mut_B" "n_mut_total" "density_total_mean" "density_A_mean" "density_B_mean" "density_total_lower" "density_total_upper" "density_A_lower" "density_A_upper" "density_B_lower" "density_B_upper" "p_total_to_mrca" "p_A_to_mrca" "p_B_to_mrca" "p_adj_total_to_mrca" "p_adj_A_to_mrca" "p_adj_B_to_mrca" "MRCA_qual" "p_A_to_eca" "p_B_to_eca" "p_adj_A_to_eca" "p_adj_B_to_eca" "A_time" "B_time"
"1" "1" 2 1 1 11999968 5 5 5 0.416667777780741 0.416667777780741 0.416667777780741 0.135290893285584 0.972363599579821 0.135290893285584 0.972363599579821 0.135290893285584 0.972363599579821 0.455137294958043 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"2" "1" 3 2 1 206521089 2.28 76 76 0.368001158467647 0.0110400347540294 0.368001158467647 0.289943056984624 0.460608325396403 0.00162297988122011 0.0371162793842897 0.289943056984624 0.460608325396403 0.0457443669473375 5.78270301225934e-36 NA 1 2.48656229527152e-34 NA "PASS" 0.548571848863007 NA 1 NA "ECA" NA
"3" "10" 2 1 1 128608328 52 52 52 0.404328403989515 0.404328403989515 0.404328403989515 0.30197179144154 0.53022290858857 0.30197179144154 0.53022290858857 0.30197179144154 0.53022290858857 0.245863735158228 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"4" "11" 2 1 1 80673143 35 35 35 0.433849465862511 0.433849465862511 0.433849465862511 0.302192049248902 0.60337958283196 0.302192049248902 0.60337958283196 0.302192049248902 0.60337958283196 0.455577633559391 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"5" "11" 3 2 1 46979977 0 16.6666666666667 16.6666666666667 0.354761064839744 0 0.354761064839744 0.205400871001943 0.570615807294435 0 0.0785202481924147 0.205400871001943 0.570615807294435 0.156538454077012 7.78281414415544e-10 NA 1 2.49050052612974e-08 NA "PASS" 0.569372540309402 NA 1 NA "ECA" NA
"6" "12" 3 2 1 128025133 3 50 50 0.390548315228073 0.0234328989136844 0.390548315228073 0.289872487283117 0.514889265253384 0.00483242710550906 0.0684808745306465 0.289872487283117 0.514889265253384 0.178445578281097 1.08651320746081e-20 NA 1 4.23740150909718e-19 NA "PASS" 0.0817084612167614 NA 0.980501534601137 NA "ECA" NA
"7" "13" 3 2 1 95570087 0.740000000000001 49.3333333333333 49.3333333333333 0.51620056946619 0.00774300854199286 0.51620056946619 0.382307319577794 0.681804766076232 6.38691335526029e-05 0.0535012235138984 0.382307319577794 0.681804766076232 0.167591746186579 4.44671978506008e-19 NA 1 1.68975351832283e-17 NA "PASS" 0.324083082363765 NA 1 NA "ECA" NA
"8" "14" 2 1 1 85992704 41 41 41 0.476784635124394 0.476784635124394 0.476784635124394 0.342148885892171 0.646812194273306 0.342148885892171 0.646812194273306 0.342148885892171 0.646812194273306 0.324209317666397 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"9" "15" 3 2 1 74540137 1.12 37.3333333333333 37.3333333333333 0.500848735136257 0.0150254620540877 0.500848735136257 0.353246707541326 0.68937317098143 0.000533020263922666 0.0775201364725453 0.353246707541326 0.68937317098143 0.248023971314882 1.4227496818346e-13 NA 1 5.12189885460454e-12 NA "PASS" 0.231432892629597 NA 1 NA "ECA" NA
"10" "16" 2 1 1 44699552 23 23 23 0.514546544001157 0.514546544001157 0.514546544001157 0.326178370580642 0.772072456002088 0.326178370580642 0.772072456002088 0.326178370580642 0.772072456002088 0.224122037393165 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
