#chromosome	start	end	crest	length	tcnNbrOfLoci	tcnMean	tcnNbrOfSNPs	tcnNbrOfHets	dhNbrOfLoci	map	dhMax	cluster	neighbour	distDH	errorSNP	distTcn	errorLength	totalError	minStart	maxStart	minStop	maxStop	area	peaks	meanCovT	meanCovB	tcnMeanRaw	AF	BAF	dhMean	c1Mean	c2Mean	A	B	genotype	TCN	CNA.type
1	840009	4269982	NA	3429974	49752	1.92355540	49309	1950	10677	mappable	0.07240000	4	edge	0.003393360408	0.00041788550	0.03954567318	0.09212444	0.09254232	840009	840009	4269959	4270005	0.17004872	1	634797.79	33.2302685	0.8406149	NA	NA	0.00000000	0.961777699	0.9617777	1	1	1:1	2	TCNneutral
1	4269982	4310127	NA	40146	666	2.16958046	666	22	167	mappable	0.06580856	8	NA	0.002673081970	0.04545454545	0.05535432682	0.13077906	0.17623360	4269959	4270005	4309995	4310127	NA	missing	729901.36	38.2604611	0.9447809	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	4310128	12839977	NA	8529851	121574	2.02648247	120860	5457	28603	mappable	0.06840530	1	self	0.000223889630	0.00016204829	0.00059606060	0.08686554	0.08702759	4310128	4310260	12839977	12839977	0.15751384	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	13780016	51809268	NA	38029259	468480	2.02648247	466607	19023	113764	mappable	0.06845000	1	NA	0.000464912487	0.00004785605	0.00140562814	0.07942620	0.07947406	13780016	13780016	51809268	51809268	0.14820354	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	51809269	51809538	CTX	270	8	2.19844021	8	0	4	mappable	NA	NA	NA	NA	Inf	0.07575432682	0.24762234	Inf	51809269	51809277	51809528	51809538	NA	missing	715347.10	NA	0.9570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	51809539	51809639	CTX	101	1	2.19844021	1	0	1	mappable	NA	NA	NA	NA	Inf	0.07575432682	0.30038097	Inf	51809539	51809623	51809623	51809639	NA	missing	715347.10	NA	0.9570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	51809640	51809886	CTX	247	4	2.19844021	4	0	1	mappable	NA	NA	NA	NA	Inf	0.07575432682	0.25162401	Inf	51809640	51809745	51809791	51809886	NA	missing	715347.10	NA	0.9570000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	51809887	72070033	CTX	20260148	278558	2.02648247	277424	12836	70209	mappable	0.06845000	1	NA	0.000295452994	0.00007158196	0.00179320009	0.08239899	0.08247057	51809887	51810122	72069918	72070033	0.13411122	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	72070034	72080005	NA	9972	145	2.21757124	145	0	37	mappable	NA	NA	NA	NA	Inf	0.08385432682	0.15056083	Inf	72070034	72070149	72079898	72080112	NA	missing	753266.70	NA	0.9651000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	72080005	74269967	NA	2189963	29529	2.02648247	29438	966	7912	mappable	0.06502500	1	NA	0.003456639592	0.00094607379	0.00665432682	0.09495560	0.09590168	72079898	72080112	74269781	74269967	0.14679496	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	74269968	74310009	NA	40042	560	2.11270485	560	0	134	mappable	NA	NA	NA	NA	Inf	0.03945432682	0.13081107	Inf	74269968	74270154	74309922	74310009	NA	missing	724898.81	NA	0.9207000	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	74310010	86040013	NA	11730005	159065	2.02648247	158279	7252	41749	mappable	0.06876667	1	NA	0.000836376889	0.00012440906	0.00101646437	0.08516545	0.08528986	74310010	74310097	86039973	86040013	0.14714708	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	86040014	86050009	NA	9996	157	2.16958046	154	4	34	mappable	0.11669505	8	NA	0.039248765813	0.14285714286	0.06545432682	0.15052154	0.29337868	86040014	86040054	86049992	86050009	NA	missing	729901.36	38.2604611	0.9447809	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	86050010	86080075	NA	30066	509	1.92355540	508	26	134	mappable	0.09902797	4	NA	0.027425140069	0.03703703704	0.05354567318	0.13444614	0.17148318	86050010	86050027	86079994	86080156	NA	missing	634797.79	33.2302685	0.8406149	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	86080075	120529963	NA	34449891	456770	2.02648247	455346	22820	117068	mappable	0.06845000	1	self	0.000016719548	0.00004124902	0.00130148048	0.07987860	0.07991985	86079994	86080156	120529963	120529963	0.13573196	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	121220004	121229986	NA	9983	177	2.02648247	176	10	44	mappable	0.03335063	1	self	0.023933538326	0.09090909091	0.03465432682	0.15054281	0.24145190	121220004	121220004	121229986	121229986	NA	missing	693452.99	35.7876681	0.8841938	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	144010127	144019970	NA	9844	155	2.38313732	86	0	22	mappable	NA	NA	NA	0.361316712056	0.01449275362	0.15395432682	0.15077238	0.16526513	144010127	144010127	144019970	144019970	NA	missing	2377364.00	NA	1.0352000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	144920087	145739956	NA	819870	6377	2.02648247	5784	130	1864	mappable	0.07245000	1	self	0.010306639592	0.00138312586	0.00754567318	0.10180689	0.10319002	144920087	144920087	145739956	145739956	0.15522869	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	146540101	147829895	NA	1289795	11686	2.02648247	11650	796	2953	mappable	0.06314286	1	self	0.006467005446	0.00120192308	0.00385432682	0.09852843	0.09973035	146540101	146540101	147829895	147829895	0.17922913	1	693452.99	35.7876681	0.8841938	NA	NA	0.00000000	1.013241235	1.0132412	1	1	1:1	2	TCNneutral
1	149815060	150115801	NA	300742	3243	2.14472948	3231	5	863	mappable	0.04210354	7	NA	0.086586007467	0.05882352941	0.01865432682	0.10990118	0.16872471	149815060	149815060	150115777	150115801	NA	missing	712108.32	38.4491405	0.9342591	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	150115802	150119982	CTX	4181	53	2.14472948	52	0	18	mappable	NA	7	NA	0.143639572529	1.00000000000	0.09785432682	0.16625612	1.16625612	150115802	150115974	150119941	150120023	NA	missing	712108.32	NA	0.9342591	NA	NA	NA	NA	NA	NA	NA	NA	NA	TCNneutral
1	150119982	164380012	NA	14260031	175166	2.96483474	174510	6894	44358	mappable	0.32423870	3	NA	0.256843360408	0.00013245033	0.42845432682	0.08415570	0.08428815	150119941	150120023	164379979	164380012	0.94063193	2	1004421.01	66.2942800	1.2814883	34.21181	0.6633634	0.32672688	0.998071767	1.9667630	2	1	2:1	3	DUP
1	164380013	164419969	NA	39957	590	3.09211372	590	3	167	mappable	0.25872193	9	NA	0.190240285542	0.33333333333	0.48465432682	0.13083730	0.46417063	164380013	164380046	164419828	164420110	NA	missing	1023415.67	67.9827596	1.3353777	NA	NA	NA	NA	NA	NA	NA	NA	NA	DUP
