"chrom" "TCN" "A" "B" "Seglength" "n_mut_A" "n_mut_B" "n_mut_total" "density_total_mean" "density_A_mean" "density_B_mean" "density_total_lower" "density_total_upper" "density_A_lower" "density_A_upper" "density_B_lower" "density_B_upper" "p_total_to_mrca" "p_A_to_mrca" "p_B_to_mrca" "p_adj_total_to_mrca" "p_adj_A_to_mrca" "p_adj_B_to_mrca" "MRCA_qual" "p_A_to_eca" "p_B_to_eca" "p_adj_A_to_eca" "p_adj_B_to_eca" "A_time" "B_time"
"1" "1" 2 2 0 115964914 0 0 16 0.137972766486939 0 0 0.0788633573568771 0.224059128759936 0 0.0318103064700581 0 0.0318103064700581 0.0276289425162087 9.32793285546471e-12 NA 0.635465677872801 3.07821784230335e-10 NA "PASS" 0.499970871833722 NA 1 NA "ECA" NA
"2" "1" 4 2 2 98029491 2.88 2.88 32 0.326432379415292 0.0293789141473763 0.0293789141473763 0.223279505871193 0.460825121283354 0.00579025155353269 0.0875891330470842 0.00579025155353269 0.0875891330470842 0.0182661758762568 1.08478852619223e-07 NA 0.456654396906419 3.03740787333823e-06 NA "PASS" 0.0306618787050306 NA 0.306618787050306 NA "ECA" "ECA"
"3" "10" 2 2 0 127304624 0 0 23 0.180669006963958 0 0 0.114528652447414 0.271092218102251 0 0.0289767907732396 0 0.0289767907732396 0.181196142632225 8.25736210374954e-13 NA 1 2.80750311527484e-11 NA "PASS" 0.468861881076561 NA 1 NA "ECA" NA
"4" "11" 2 1 1 125674771 22 22 22 0.175055023573506 0.175055023573506 0.175055023573506 0.109706051282398 0.265035409430945 0.109706051282398 0.265035409430945 0.109706051282398 0.265035409430945 0.148489995163548 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"5" "12" 3 2 1 126829541 1 33.3333333333333 33.3333333333333 0.262819947707083 0.0078845984312125 0.262819947707083 0.181284006004781 0.368476052388175 0.000199620749114672 0.0439301707394723 0.181284006004781 0.368476052388175 0.173625541820198 2.56463496025188e-11 NA 1 8.20683187280602e-10 NA "PASS" 0.193509081564708 NA 1 NA "ECA" NA
"6" "13" 3 2 1 94726101 0 17.3333333333333 17.3333333333333 0.182983709350956 0 0.182983709350956 0.107228202822487 0.291673047661852 0 0.0389425872612865 0.107228202822487 0.291673047661852 0.218427585522443 8.99312982173577e-10 NA 1 2.78787024473809e-08 NA "PASS" 0.564805472308357 NA 1 NA "ECA" NA
"7" "14" 3 2 1 84640605 1.05 23.3333333333333 23.3333333333333 0.275675408196023 0.012405393368821 0.275675408196023 0.17539200460165 0.412465751273494 0.000364965150822353 0.066848771769842 0.17539200460165 0.412465751273494 0.151942447606278 1.54270901454603e-07 NA 1 4.16531433927428e-06 NA "PASS" 0.10502773106719 NA 0.945249579604708 NA "ECA" NA
"8" "15" 2 2 0 74019284 0 0 12 0.162119914588744 0 0 0.0837697255855949 0.283190864804595 0 0.0498367351690937 0 0.0498367351690937 0.16154671639357 8.00953903767485e-08 NA 1 2.32276632092571e-06 NA "PASS" 0.362573367769481 NA 1 NA "ECA" NA
"9" "16" 2 1 1 72199815 13 13 13 0.180055863024026 0.180055863024026 0.180055863024026 0.0958721638137688 0.307901009416144 0.0958721638137688 0.307901009416144 0.0958721638137688 0.307901009416144 0.264614141762019 NA NA 1 NA NA "PASS" NA NA NA NA NA NA
"10" "17" 4 2 2 75594894 0 0 16 0.211654506718403 0 0 0.12097883824854 0.343713658723577 0 0.0487979975752587 0 0.0487979975752587 0.476094068918444 5.6848251729238e-08 NA 1 1.70544755187714e-06 NA "PASS" 0.368459855444801 NA 1 NA "ECA" "ECA"
